date;open;high;low;close;volume
1993-03-15;3094.7;3112;3094.7;3112;
1993-03-16;3115.3;3122.6;3114.6;3118.9;
1993-03-17;3110.9;3126.4;3105;3125.9;
1993-03-18;3129.7;3141.1;3128.7;3133.3;
1993-03-19;3134.8;3154.7;3134.3;3154.7;
1993-03-22;3156.3;3156.9;3140.5;3144;
1993-03-23;3146.8;3153.6;3143.5;3145.2;
1993-03-24;3145.5;3146.1;3137.9;3138;
1993-03-25;3131.8;3133.6;3110.5;3113.6;
1993-03-26;3115.9;3118.8;3099;3099;
1993-03-29;3087.5;3092.1;3086.6;3091.6;
1993-03-30;3097.2;3099.5;3094;3096.3;
1993-03-31;3097.6;3113.6;3097.6;3107.8;
1993-04-01;3104.9;3108.8;3104.9;3107.2;
1993-04-02;3107.6;3115.7;3106.6;3108.5;
1993-04-05;3094.5;3097.7;3089.3;3090.8;
1993-04-06;3093.9;3093.9;3087.3;3087.4;
1993-04-07;3087.8;3088.9;3079.8;3083.7;
1993-04-08;3087.2;3087.2;3083.2;3084.3;
1993-04-13;3089.8;3101.3;3089.7;3101.3;
1993-04-14;3103;3104.5;3091.7;3092.7;
1993-04-15;3093.2;3094.7;3085.1;3085.9;
1993-04-16;3085.2;3089.5;3072.3;3072.3;
1993-04-19;3061.2;3075.7;3060.5;3074.4;
1993-04-20;3073.9;3097.5;3073.8;3097.5;
1993-04-21;3099.2;3116;3099.2;3115.9;
1993-04-22;3116.1;3135.7;3115.9;3135.7;
1993-04-23;3137.5;3142.6;3134.7;3136.2;
1993-04-26;3136.5;3138.2;3133.8;3133.8;
1993-04-27;3132;3134.3;3128.3;3134.3;
1993-04-28;3138.8;3141.8;3117.5;3121.7;
1993-04-29;3118.3;3118.3;3108.5;3110.4;
1993-04-30;3112.8;3132.1;3112.8;3132.1;
1993-05-04;3135.8;3140.3;3133.4;3133.5;
1993-05-05;3130.1;3130.2;3117.7;3119.1;
1993-05-06;3119.9;3124.6;3114.7;3114.7;
1993-05-07;3110.4;3110.6;3104.9;3109.5;
1993-05-10;3115.2;3125.8;3105.6;3125.6;
1993-05-11;3126.8;3131.3;3125.6;3131.3;
1993-05-12;3134.5;3145.1;3134.3;3145;
1993-05-13;3148.9;3156.8;3146.2;3151.9;
1993-05-14;3147.9;3147.9;3140.1;3142.3;
1993-05-17;3141.7;3146.1;3140.3;3146;
1993-05-18;3149.2;3154.9;3149.1;3151.2;
1993-05-19;3154.8;3157.7;3148.3;3149;
1993-05-20;3157.1;3165;3156.7;3160.1;
1993-05-21;3165.3;3166.4;3162.3;3165.1;
1993-05-24;3161;3168.5;3157.3;3168.4;
1993-05-25;3169.7;3172.7;3169.2;3172.7;
1993-05-26;3173.7;3175.5;3168.6;3175.5;
1993-05-27;3175;3176.4;3168.5;3169.6;
1993-05-28;3169.8;3170.8;3165.1;3165.4;
1993-06-01;3169.8;3170.8;3165.1;3165.4;
1993-06-02;3168.8;3191.9;3168.8;3191.4;
1993-06-03;3190.6;3190.7;3182.3;3183.6;
1993-06-04;3182.2;3182.3;3173.1;3175.1;
1993-06-07;3171.1;3185.1;3170.3;3184.9;
1993-06-08;3185.7;3198.1;3185.7;3198.1;
1993-06-09;3197.6;3213.4;3196.4;3213.4;
1993-06-10;3214.9;3215.9;3206;3207.7;
1993-06-11;3201.1;3204;3199.4;3202.9;
1993-06-14;3206.4;3215.6;3205.9;3213.2;
1993-06-15;3214;3214;3204.8;3205.1;
1993-06-16;3203.1;3212;3203.1;3212;
1993-06-17;3213.5;3215.7;3212.9;3213.5;
1993-06-18;3214.3;3217.8;3214.3;3215.8;
1993-06-21;3249.6;3250.1;3204.5;3218.5;
1993-06-22;3223.2;3226.8;3217.2;3217.9;
1993-06-23;3212.3;3217.5;3212.3;3215.5;
1993-06-24;3212;3215.7;3211.3;3215.7;
1993-06-25;3216.5;3216.6;3210;3213.1;
1993-06-28;3214.3;3224.1;3214.2;3223.9;
1993-06-29;3229.2;3231;3226.6;3229.1;
1993-06-30;3230.7;3236;3230.7;3235.7;
1993-07-01;3238.8;3246.7;3237.8;3241.7;
1993-07-02;3239.6;3242.1;3234.4;3234.8;
1993-07-05;3231.2;3231.2;3218.8;3219;
1993-07-06;3219.7;3232.1;3219.7;3232.1;
1993-07-07;3228.2;3229.6;3217.8;3219.9;
1993-07-08;3221.6;3226.5;3219.5;3226.4;
1993-07-09;3234.4;3240.8;3234.4;3236.8;
1993-07-12;3233.4;3233.6;3225.4;3228.6;
1993-07-13;3230.6;3232.3;3227.5;3230;
1993-07-14;3227.3;3227.8;3219.3;3222.5;
1993-07-15;3225.2;3230.8;3225.2;3225.5;
1993-07-16;3221.7;3221.9;3216.2;3217.5;
1993-07-19;3206.3;3214.2;3202.8;3211.3;
1993-07-20;3212.5;3215.8;3203.5;3205;
1993-07-21;3207.3;3207.3;3193.1;3195.4;
1993-07-22;3197.7;3200.6;3197.7;3200.5;
1993-07-23;3184.6;3202.9;3184.6;3202.9;
1993-07-26;3204.4;3215.2;3204.4;3215.2;
1993-07-27;3217.3;3238.9;3217.3;3238.7;
1993-07-28;3241.5;3246.5;3241.5;3244.8;
1993-07-29;3247.5;3273;3247.5;3273;
1993-07-30;3280.1;3308.8;3279.4;3306.5;
1993-08-02;3307.8;3338.9;3307.6;3335.3;
1993-08-03;3335.8;3338.4;3331.5;3338.4;
1993-08-04;3339.9;3349.4;3337;3349.4;
1993-08-05;3351.1;3362.3;3349.6;3362.3;
1993-08-06;3365.6;3393.5;3365.6;3392.8;
1993-08-09;3394.7;3400.6;3394.7;3399.4;
1993-08-10;3403.8;3410.3;3403.6;3406.8;
1993-08-11;3404.9;3430.8;3402.7;3430.6;
1993-08-12;3434.4;3454.1;3434.4;3451.8;
1993-08-13;3449.2;3455.5;3445.5;3455.5;
1993-08-16;3456.9;3463;3456.9;3459.4;
1993-08-17;3460.1;3465.9;3457.1;3465.9;
1993-08-18;3471.8;3495.8;3471.8;3494.9;
1993-08-19;3496.7;3502.3;3483.9;3486;
1993-08-20;3486;3489.3;3482.3;3482.4;
1993-08-23;3479.9;3479.9;3466;3467.4;
1993-08-24;3470.2;3477.8;3469.9;3474.2;
1993-08-25;3479.5;3495.7;3479.4;3495.6;
1993-08-26;3500.5;3501.7;3489.3;3494.7;
1993-08-27;3497.1;3514.7;3497.1;3513.3;
1993-08-31;3514.9;3517.8;3511.4;3511.9;
1993-09-01;3511.8;3512.1;3490.2;3495.7;
1993-09-02;3496.4;3498.9;3489.8;3489.8;
1993-09-03;3483.2;3485.5;3478.7;3478.9;
1993-09-06;3475;3476.2;3471.8;3475.7;
1993-09-07;3474.5;3477.3;3469.7;3470.2;
1993-09-08;3461.5;3464.8;3460.6;3462.4;
1993-09-09;3462.7;3473.2;3460.3;3468.9;
1993-09-10;3468.3;3476.3;3468.3;3476.3;
1993-09-13;3481.4;3482.3;3471.2;3471.5;
1993-09-14;3467.1;3467.1;3458.5;3458.6;
1993-09-15;3457.8;3458.5;3424.1;3424.1;
1993-09-16;3428;3428.5;3419;3421.2;
1993-09-17;3422.2;3433.1;3420.9;3425.7;
1993-09-20;3419.7;3423.6;3413.3;3423.6;
1993-09-21;3420.7;3429;3420.3;3429;
1993-09-22;3419.6;3427.5;3413;3427.5;
1993-09-23;3430.1;3432.7;3429.6;3430.3;
1993-09-24;3430.2;3432.3;3428.7;3431.9;
1993-09-27;3432.3;3440.4;3432;3437.1;
1993-09-28;3436;3440.3;3431.9;3437.6;
1993-09-29;3436;3440.1;3433;3434.4;
1993-09-30;3434.8;3435.9;3431.7;3433.2;
1993-10-01;3431.5;3431.7;3425.2;3426.7;
1993-10-04;3418.6;3439.3;3418.4;3439.3;
1993-10-05;3441.8;3457.7;3441.8;3457.7;
1993-10-06;3461.4;3475.3;3461.4;3471.6;
1993-10-07;3471.2;3476.7;3467.6;3470.5;
1993-10-08;3468.7;3477.7;3468.5;3477.3;
1993-10-11;3477.5;3482.3;3474.3;3482.2;
1993-10-12;3479.4;3483.9;3474.7;3474.9;
1993-10-13;3475.6;3478.3;3468.1;3468.3;
1993-10-14;3468.4;3468.9;3457;3464.4;
1993-10-15;3469.3;3479.8;3469.3;3479.8;
1993-10-18;3478.6;3489.3;3478.3;3486.9;
1993-10-19;3487.5;3489.9;3484.6;3486.8;
1993-10-20;3488;3507.1;3488;3507.1;
1993-10-21;3507.1;3526.2;3504.2;3526.2;
1993-10-22;3532.4;3547;3532.4;3547;
1993-10-25;3549.1;3549.5;3543.6;3547;
1993-10-26;3548.1;3555.9;3544.7;3545;
1993-10-27;3543.4;3548.4;3536.6;3537.1;
1993-10-28;3534.1;3536.6;3530.2;3532.4;
1993-10-29;3536.1;3537.2;3525.8;3528.1;
1993-11-01;3524.7;3524.7;3516.6;3520.5;
1993-11-02;3524.5;3525;3519.2;3522.3;
1993-11-03;3521.5;3522.1;3516.7;3517.3;
1993-11-04;3508.5;3508.5;3497.9;3500.4;
1993-11-05;3490;3490.2;3459.5;3460.1;
1993-11-08;3459.6;3459.6;3436.8;3440.7;
1993-11-09;3440.3;3446.9;3438.1;3439.8;
1993-11-10;3436.4;3443;3433.6;3440.4;
1993-11-11;3440.5;3443.5;3434.6;3434.6;
1993-11-12;3431.1;3431.1;3418;3421.1;
1993-11-15;3419.5;3422.6;3416;3416.5;
1993-11-16;3412;3423.6;3410.7;3421;
